headline,link,description,time,SubCategory,Category
পটুয়াখালীতে এক জামাতে নামাজ পড়বেন ২০ হাজার মুসুল্লি,https://banglanews24.com/national/news/bd/943006.details,পটুয়াখালী: পটুয়াখালী জেলা শহরের কেন্দ্রীয় ঈদগাহে এবার একসঙ্গে ২০ হাজার মুসুল্লির নামাজের প্রস্তুতি সম্পন্ন করেছে পটুয়াখালী,"July 10, 2022",Religion,Religion
পটুয়াখালীর ২৫ গ্রামে পালিত হচ্ছে ঈদুল আযহা,https://banglanews24.com/national/news/bd/942907.details,পটুয়াখালী : চাঁদ দেখার উপর নির্ভর করে ও মধ্যপ্রাচ্যের আরবি তারিখের সঙ্গে মিল রেখে ঈদুল আযহা পালন করছেন পটুয়াখালীর ২৫ গ্রামের মানুষ।,"July 9, 2022",Religion,Religion
পটুয়াখালীতে এবার মাদরাসা শিক্ষকের মাথা ন্যাড়া,https://banglanews24.com/national/news/bd/942384.details,পটুয়াখালী: পটুয়াখালীর বাউফলে এবার মাও. মনিরুল ইসলাম নামে এক মাদরাসা শিক্ষককের মাথা ন্যাড়া করে দেওয়ার ঘটনা ঘটেছে। গত শনিবার (৩ জুন),"July 6, 2022",Child & Women Harrasement,Law & Order
কমানোর পর আবার বাড়ানো হলো পটুয়াখালী-ঢাকার লঞ্চ ভাড়া,https://banglanews24.com/national/news/bd/942150.details,পটুয়াখালী: পদ্মা সেতু চালু হওয়ার পরে ঢাকা-পটুয়াখালী নৌ রুটে ব্যাপক নেতিবাচক প্রভাব পড়েছে। আগের তুলনায় কমে আসছে যাত্রীর সংখ্যা।,"July 5, 2022",Transportation,Transportation
ডাকাতির শাড়ি বাড়ি নিয়ে বিপাকে সম্বন্ধী-ভগ্নিপতিসহ ৪ ডাকাত!,https://banglanews24.com/national/news/bd/942073.details,পটুয়াখালী: পটুয়াখালীর বাউফলে ডাকাতির শাড়ি বাড়ি নিয়ে পুলিশের হাতে ধরা পড়েছেন সম্বন্ধী (স্ত্রীর বড় ভাই) ও ভগ্নিপতিসহ ডাকাত দলের চার,"July 5, 2022",Crime,Law & Order
পটুয়াখালীতে এক মিনিটের ঝড়ে বাবা নিহত-মেয়েসহ আহত ৩,https://banglanews24.com/national/news/bd/941575.details,পটুয়াখালী: পটুয়াখালীর চরপাড়ায় আকস্মিক এক মিনিটের ভয়াবহ টর্নেডোর আঘাতে সাহিন হাওলাদার (৪৫) নামে এক ব্যক্তি নিহত হয়েছেন। একই ঘটনায়,"July 3, 2022",Crime,Law & Order
গলাচিপায় ডোবায় ভাসছিল নিখোঁজ কিশোরীর মরদেহ,https://banglanews24.com/national/news/bd/940710.details,"পটুয়াখালী: পটুয়াখালীর গলাচিপায় নিখোঁজ হওয়ার দু’দিন পর আফসানা আক্তার মিম (১৩) নামে এক কিশোরীর মরদেহ উদ্ধার করেছে পুলিশ।
বুধবার (২৯","June 29, 2022",Crime,Law & Order
পদ্মা সেতুর নাটবল্টু কাণ্ডে গ্রেফতার বায়েজিদের রাজনৈতিক পরিচয় নিয়ে বিতর্ক,https://banglanews24.com/national/news/bd/940610.details,পটুয়াখালী: পদ্মা সেতুর রেলিংয়ের নাটবল্টু খুলে টিকটিক ভিডিও করায় সারাদেশে ব্যাপক সমালোনা ও পুলিশের হাতে আটক বায়েজিদ তালহা মৃধার,"June 28, 2022",Crime,Law & Order
পদ্মা সেতুর নাট খোলার ঘটনায় বায়েজিদের বাড়িতে হামলা,https://banglanews24.com/national/news/bd/940380.details,"পটুয়াখালী: পদ্মা সেতুর নাট খোলার ঘটনায় পুলিশের হাতে আটক বায়েজিদের  বাড়িতে হামলা ও ভাঙচুর করেছে দুর্বৃত্তরা।
সোমবার (২৭ জুন) বিকেল","June 27, 2022",Crime,Law & Order
"এ যেন সত্যি পদ্মার পাড়, সেতুর রেপ্লিকা দেখতে জনতার ঢল",https://banglanews24.com/national/news/bd/939994.details,পটুয়াখালী: পদ্মা সেতু উদ্বোধনের আনন্দ ভাগাভাগি করতে শহরের সার্কিট হাউজ পুকুরে বাঁশ কাঠে নির্মিত হয়েছে পদ্মা সেতুর রেপ্লিকা। আর,"June 26, 2022",Child & Women Harrasement,Law & Order
ফটোশুট করে বন্যার্তদের জন্য তহবিল সংগ্রহ,https://banglanews24.com/national/news/bd/939895.details,"পটুয়াখালী: বন্যায় ক্ষতিগ্রস্তদের পাশে দাঁড়াতে ফটোশুট করে তহবিল সংগ্রহ করছেন পটুয়াখালীর একদল উদ্যোক্তা।
বৃহস্পতিবার (২৩ জুন) থেকে","June 25, 2022",Social Welfare,Development & Welfare
যেখান থেকে শুরু হয়েছিল ঢাকা-কুয়াকাটা ফেরিমুক্ত আন্দোলন,https://banglanews24.com/national/news/bd/939883.details,পটুয়াখালী: পটুয়াখালী শহরের কাছেই লাউকাঠী নদীর ওপর বরিশাল-পটুয়াখালী মহাসড়কে পটুয়াখালী সেতুটি করা হয়েছে। পটুয়াখালী চৌরাস্তা থেকে,"June 25, 2022",Transportation,Transportation
পটুয়াখালীতে পদ্মা সেতুর রেপ্লিকা,https://banglanews24.com/national/news/bd/939619.details,"পটুয়াখালী: পদ্মা সেতু উদ্বোধনকে কেন্দ্র করে পটুয়াখালীতে জেলা প্রশাসন, পৌরসভা ও জেলা আওয়ামী লীগের উদ্যোগে তিন দিনব্যাপী বর্ণাঢ্য","June 24, 2022",Child & Women Harrasement,Law & Order
রাঙ্গাবালীতে জমি উদ্ধারে প্রশাসনের সহায়তা চেয়ে মানববন্ধন,https://banglanews24.com/national/news/bd/939613.details,পটুয়াখালী: পটুয়াখালীর রাঙ্গাবালীতে অবৈধ দখলদারদের হাত থেকে নিজেদের জমি রক্ষা ও উদ্ধারের দাবিতে প্রশাসনের সহায়তা চেয়ে,"June 24, 2022",Social Welfare,Development & Welfare
বাড়িতে ডেকে তরুণকে পিটিয়ে ন্যাড়া করে দিল প্রেমিকার পরিবার!,https://banglanews24.com/national/news/bd/939510.details,পটুয়াখালী: পটুয়াখালীতে দুই তরুণকে ন্যাড়া করে দেওয়ার রেশ কাটতে না কাটতেই আরও এক তরুণের মাথা ন্যাড়া করে দেওয়ার ঘটনা ঘটেছে।,"June 24, 2022",Crime,Law & Order
পটুয়াখালীতে অগ্নিকাণ্ডের ঝুঁকি কমাতে প্রশিক্ষণ,https://banglanews24.com/national/news/bd/938062.details,"পটুয়াখালী: পটুয়াখালীতে অগ্নি নির্বাপণ, উদ্ধার ও প্রাথমিক চিকিৎসা বিষয়ক প্রশিক্ষণ অনুষ্ঠিত হয়েছে। মহড়ায় বলা হয়েছে যেকোনো","June 18, 2022",Education,Health & Education
"পটুয়াখালীর ৮ ইউপিতে নৌকা ৫, স্বতন্ত্র ২, হাতপাখা ১",https://banglanews24.com/election-comission/news/bd/937496.details,"পটুয়াখালী: পটুয়াখালীর তিন উপজেলার আট ইউনিয়ন পরিষদ (ইউপি) নির্বাচনে আওয়ামী লীগ মনোনীত পাঁচজন, স্বতন্ত্র দুই প্রার্থী এবং বাংলাদেশ","June 15, 2022",Election,Politics & Movement
সংশ্লিষ্টদের খামখেয়ালিপনায় কিছুটা বিড়ম্বনা সৃষ্টি হয়েছে: ডিআইজি,https://banglanews24.com/election/news/bd/937339.details,"পটুয়াখালী: বরিশাল রেঞ্জ ডিআইজি এস এম আক্তারুজ্জামান বলেন, সংশ্লিষ্টদের খামখেয়ালিপনায় ভোটগ্রহণে কিছুটা বিড়ম্বনা সৃষ্টি হয়েছে।","June 15, 2022",Corruption,Administration & Corruption
পটুয়াখালীতে ২ জনের অস্বাভাবিক মৃত্যু,https://banglanews24.com/national/news/bd/937083.details,"পটুয়াখালী: পটুয়াখালীতে পৃথক ঘটনায় ২ জনের মরদেহ উদ্ধার করেছে পুলিশ।
সোমবার (১৩ জুন) রাত সাড়ে ৮ টায় সদর উপজেলার নন্দকানাই গ্রাম এলাকা","June 14, 2022",Crime,Law & Order
সম্পত্তির ভাগ না দিতে ছোট ভাইকে হত্যা,https://banglanews24.com/national/news/bd/936961.details,পটুয়াখালী: পটুয়াখালীর কলাপাড়ায় পৈত্রিক সম্পত্তি ভাগাভাগি নিয়ে দ্বন্দ্বের জেরে বড় ভাই সোহাগ হাওলাদারের (৪২) হাতেই খুন হন সাংবাদিক,"June 13, 2022",Crime,Law & Order
পটুয়াখালীতে হেরোইনসহ নারী মাদকবিক্রেতা আটক,https://banglanews24.com/national/news/bd/936500.details,পটুয়াখালী: পটুয়াখালীতে বিশেষ অভিযান চালিয়ে ৫০টি ইয়াবা ট্যাবলেট ও ৩৪ পুরিয়া হেরোইনসহ অনামিকা তালুকদা নামে এক নারীকে আটক করেছে জেলা,"June 11, 2022",Drug & Juvenile gang,Law & Order
কুয়াকাটায় ভেসে এলো সমুদ্রপ্রেমী সাপ!,https://banglanews24.com/offbeat/news/bd/936136.details,পটুয়াখালী: পেটের রঙ হলুদ। দেহের উপরি ভাগ কালো। এরা থাকে সমুদ্রে। কালো দেহে অদ্ভুত হলুদের ছোঁয়া থাকায় এ সাপ দেখতে খুব সুন্দর।,"June 10, 2022",Agriculture,Agriculture
গলাচিপায় দুই যুবকের মাথা ন্যাড়ার ঘটনায় মামলা,https://banglanews24.com/national/news/bd/936090.details,পটুয়াখালী: পটুয়াখালীর গলাচিপায় বিয়ে বাড়িতে মেয়েদের সঙ্গে কথা বলায় দুই যুবকের মাথা কামিয়ে আলকাতরা লাগিয়ে গ্রাম ছাড়া করার ঘটনা,"June 9, 2022",Crime,Law & Order
১৫ দিনের মাথায় বাবার পর মেয়ের মৃত্যু,https://banglanews24.com/national/news/bd/935995.details,"পটুয়াখালী: পটুয়াখালীতে পানিতে ডুবে মনিরা আক্তার (৩) নামে একটি কন্যা শিশুর মৃত্যু হয়েছে।
বৃহস্পতিবার (৯ জুন) পটুয়াখালী সদর উপজেলার","June 9, 2022",Crime,Law & Order
বেয়াইনের সঙ্গে কথা বলায় ২ যুবকের মাথা কামিয়ে আলকাতরা দিলেন মেম্বার,https://banglanews24.com/national/news/bd/935890.details,পটুয়াখালী: পটুয়াখালীর গলাচিপায় বিয়ে বাড়িতে বেয়াইনের সঙ্গে কথা বলায় দুই যুবকের মাথা কামিয়ে আলকাতরা লাগিয়ে গ্রাম ছাড়া করার অভিযোগ,"June 9, 2022",Child & Women Harrasement,Law & Order
"পটুয়াখালীতে নিষেধাজ্ঞা অমান্য করে মাছ শিকার, ১০ জেলেকে জরিমানা",https://banglanews24.com/national/news/bd/935685.details,পটুয়াখালী: সরকারি নিষেধাজ্ঞা অমান্য করে পটুয়াখালীর কুয়াকাটা সংলগ্ন বঙ্গোপসাগরে মাছ শিকারের দায়ে ১০ জেলেকে জরিমানা করা হয়েছে। একই,"June 8, 2022",Agriculture,Agriculture
কলাপাড়ায় পুকুরে ভাসছিল যুবকের মরদেহ,https://banglanews24.com/national/news/bd/935190.details,"পটুয়াখালী: পটুয়াখালীর কলাপাড়ায় পুকুর থেকে আবু জাফর প্রদীপ (৩৫) নামের এক যুবকের মরদেহ উদ্ধার করেছে পুলিশ।
সোমবার (৬ জুন) গণমাধ্যমকে","June 6, 2022",Crime,Law & Order
"কুয়াকাটা সৈকতে নিখোঁজ, উদ্ধার চেন্নাইয়ে",https://banglanews24.com/national/news/bd/934839.details,পটুয়াখালী: পটুয়াখালীর কুয়াকাটা সমুদ্র সৈকতে সাঁতার কাটতে নেমে নিখোঁজ পর্যটক ফিরোজ শিকদারের (২৭) সন্ধান পাওয়া গেছে।  নিখোঁজের ৭ দিন,"June 4, 2022",Child & Women Harrasement,Law & Order
বিভিন্ন অপরাধে ৫ জনের সাজা ও জরিমানা,https://banglanews24.com/national/news/bd/934729.details,পটুয়াখালী: পটুয়াখালীতে প্রাথমিক শিক্ষক  নিয়োগ পরিক্ষায় প্রক্সি দেওয়ার অপরাধে ৪ জনকে বিভিন্ন মেয়াদ সাজা প্রদান করা হয়েছে। এছাড়াও,"June 4, 2022",Miscellaneous,Miscellaneous
কেন্দ্র অনুমোদনের খরচ তুলতে শিক্ষার্থীদের কাছ থেকে অর্থ আদায়ের অভিযোগ,https://banglanews24.com/national/news/bd/934552.details,পটুয়াখালী: পটুয়াখালীর রাঙ্গাবালী উপজেলার মৌডুবি সরকারি মাধ্যমিক বিদ্যালয়ে এসএসসি পরীক্ষার কেন্দ্র অনুমোদনের অজুহাতে,"June 3, 2022",Crime,Law & Order
পটুয়াখালীতে খামারের সাপের কামড়ে প্রাণ গেল শ্রমিকের,https://banglanews24.com/national/news/bd/933179.details,পটুয়াখালী:  খামারে পালিত সাপের কামড়ে পটুয়াখালীতে জব্বার তালুুকদার (৩২) নামে সেখানে কর্মরত এক শ্রমিকের মৃত্যু হয়েছে। তবে তথ্য গোপন,"May 28, 2022",Crime,Law & Order
কুয়াকাটা সমুদ্র সৈকতে গোসলে নেমে পর্যটক নিখোঁজ,https://banglanews24.com/national/news/bd/933065.details,"পটুয়াখালী: পটুয়াখালীর কুয়াকাটা সমুদ্র সৈকতে গোসলে করতে নেমে ফিরোজ শিকদার (২৭) নামে এক পর্যটক নিখোঁজ হয়েছেন।
শুক্রবার (২৭ মে)","May 27, 2022",Child & Women Harrasement,Law & Order
ঘুমিয়ে থাকা সাবেক স্ত্রীকে আগুনে পুড়িয়ে মারলেন জলিল,https://banglanews24.com/national/news/bd/932980.details,পটুয়াখালী: পটুয়াখালীর দুমকিতে ঘুমন্ত অবস্থায় পেট্রোল ঢেলে স্ত্রী ইতি আক্তারকে (২৬) পুড়িয়ে মারার অভিযোগ উঠেছে স্বামী জলিলের (৩২),"May 27, 2022",Crime,Law & Order
দুই লাখ টাকায় হাঁড়ি ভর্তি সোনা!,https://banglanews24.com/national/news/bd/932922.details,দুই লাখ টাকা দিলে ঘরের মেঝের মাটি খুঁড়ে হাঁড়ি ভর্তি সোনা পাওয়া যাবে। এমন প্রলোভন দেখিয়ে মো. রুবেল মোল্লা (৪২) নামের প্রতারক এক,"May 27, 2022",Miscellaneous,Miscellaneous
পটুয়াখালীতে বিএনপির সমাবেশে ছাত্রলীগের হামলা,https://banglanews24.com/politics/news/bd/932728.details,পটুয়াখালী: সাবেক প্রধানমন্ত্রী বেগম খালেদা জিয়াকে হত্যার হুমকির প্রতিবাদে পটুয়াখালীতে অনুষ্ঠিত  বিক্ষোভ সমাবেশে দফায় দফায়,"May 26, 2022",Crime,Law & Order
স্কুলে ফ্যানের বাতাস পেতে দিতে হবে ফি!,https://banglanews24.com/national/news/bd/932570.details,পটুয়াখালী: পটুয়াখালীর রাঙ্গাবালী মডেল মাধ্যমিক বিদ্যালয়ের শ্রেণিকক্ষে ফ্যানের (বৈদ্যুতিক পাখা) বাতাসের জন্য মাসিক ফি আরোপ করেছে,"May 25, 2022",Miscellaneous,Miscellaneous
দুমকি হাসপাতালের সরকারি খাবার স্যালাইন ডাস্টবিনে!,https://banglanews24.com/health/news/bd/932242.details,"পটুয়াখালী: পটুয়াখালীর দুমকি ৩১ শয্যা বিশিষ্ট হাসপাতালের শত শত খাবার স্যালাইন ডাস্টবিনে ফেলে দেওয়ার অভিযোগ উঠেছে।
মঙ্গলবার (২৪ মে)","May 24, 2022",Miscellaneous,Miscellaneous
পটুয়াখালীতে ছাত্রলীগ ও ছাত্রদল সংঘর্ষ,https://banglanews24.com/politics/news/bd/932117.details,পটুয়াখালী: পটুয়াখালীতে ছাত্রলীগ-ছাত্রদল নেতাকর্মীদের মধ্যে ধাওয়া-পাল্টা ধাওয়ার ঘটনা ঘটেছে।  সোমবার (২৩ মে) সকালে পৌর শহরের সরকারি,"May 23, 2022",Crime,Law & Order
কুয়াকাটা সৈকতে ভেসে এলো জীবিত ডলফিন,https://banglanews24.com/environment-biodiversity/news/bd/931709.details,"পটুয়াখালী: পটুয়াখালীর কুয়াকাটা সমুদ্র সৈকতে ভেসে এসেছে ৮ ফুট দৈর্ঘ্যের একটি জীবিত ইরাবতি মা ডলফিন। 
রোববার (২২ মে) সকালে সৈকতের তিন","May 22, 2022",Tourism,"Commerce,Tourism & Festival"
"কলাপাড়ায় ২ বাইকের সংঘর্ষে ১ বন্ধু নিহত, আহত ৩",https://banglanews24.com/national/news/bd/930781.details,পটুয়াখালী: পটুয়াখালীর কলাপাড়া উপজেলার মহিপুরে দুই মোটরসাইকেলের মুখোমুখি সংঘর্ষে খালিদ সাইফুল্লাহ (১৭) নামে এক কিশোরের মৃত্যু,"May 18, 2022",Crime,Law & Order
সায়েম সোবহান আনভীরের হাত ধরে স্বর্ণ ব্যবসায় স্বর্ণযুগ ফিরবে,https://banglanews24.com/economics-business/news/bd/930438.details,পটুয়াখালী: বাংলাদেশ জুয়েলার্স অ্যাসোসিয়েশনের (বাজুস) সভাপতি সায়েম সোবহান আনভীরের হাত ধরেই স্বর্ণ ব্যবসায় স্বর্ণযুগ ফিরে আসবে বলে,"May 16, 2022",Development,Development & Welfare
বন থেকে মৎস্যজীবীর ঝুলন্ত লাশ উদ্ধার,https://banglanews24.com/national/news/bd/930243.details,"পটুয়াখালী: পটুয়াখালীর রাঙ্গাবালী উপজেলায় বন থেকে রাসেল ফরাজী (২১) নামের এক মৎস্যজীবীর ঝুলন্ত লাশ উদ্ধার করেছে পুলিশ।
রোববার (১৫ মে)","May 15, 2022",Crime,Law & Order
চলতি বছরে কুয়াকাটায় ভেসে এসেছে ৯ মৃত ডলফিন,https://banglanews24.com/environment-biodiversity/news/bd/929985.details,পটুয়াখালী: পটুয়াখালীর কুয়াকাটা সমুদ্রসৈকতে আজও ভেসে এসেছে ৮ ফুট দৈর্ঘ্য ও ২ ফুট প্রস্থের একটি মৃত ইরাবতী ডলফিন। এর পেট ফাটা অবস্থায়,"May 14, 2022",Tourism,"Commerce,Tourism & Festival"
পটুয়াখালীতে পুলিশের বাধায় পণ্ড বিএনপির বিক্ষোভ সমাবেশে,https://banglanews24.com/politics/news/bd/929844.details,"পটুয়াখালী: পুলিশের বাধা উপেক্ষা করে দেশব্যাপী হামলা, মামলা ও নৈরাজ্যের প্রতিবাদে বিক্ষোভ সমাবেশ করেছে পটুয়াখালী জেলা বিএনপি।","May 14, 2022",Movement,Politics & Movement
কিশোরকে গাছে বেঁধে নির্যাতনের ঘটনায় তিনজন আটক,https://banglanews24.com/national/news/bd/929767.details,পটুয়াখালী: পটুয়াখালীর গলাচিপায় চুরির অপবাদ দিয়ে মুন্না (১৬) নামে এক কিশোরকে লোহার শিকল দিয়ে গাছের সঙ্গে বেঁধে নির্যাতনের ঘটনায় জড়িত,"May 13, 2022",Crime,Law & Order
চুরির অপবাদে কিশোরকে গাছে বেঁধে নির্যাতন,https://banglanews24.com/national/news/bd/929686.details,"পটুয়াখালী: পটুয়াখালীর গলাচিপায় চুরির অপবাদে এক কিশোরকে শিকল দিয়ে গাছের সঙ্গে বেঁধে তিনদিন ধরে অমানবিক নির্যাতন
করা হয়েছে। এমন","May 13, 2022",Crime,Law & Order
যেকোনো দুর্যোগের খবরে মাঠে উপযোগী ফসল ঘরে তুলুন,https://banglanews24.com/national/news/bd/928881.details,"পটুয়াখালী: কৃষিমন্ত্রী আব্দুর রাজ্জাক বলেন, ঘূর্ণিঝড় আসলে তা মোকাবিলায় করণীয় সম্পর্কে সরকারি মহাপরিকল্পনার আওতায় নির্দেশনা","May 9, 2022",Agriculture,Agriculture
ঘূর্ণিঝড় অশনি: পায়রা বন্দরে ২ নম্বর হুঁশিয়ারি,https://banglanews24.com/national/news/bd/928785.details,পটুয়াখালী: পশ্চিম-মধ্য বঙ্গোপসাগর ও তৎসংলগ্ন দক্ষিণ-পূর্ব বঙ্গোপসাগর এলাকায় অবস্থানরত প্রবল ঘূর্ণিঝড় ‘অশনি’র প্রভাবে রোববার,"May 9, 2022",Natural disaster,Environment & Disaster
